**************************************************
Checking constraint violation of QuadrupleStance:
******************************************************************************
Domain: QuadrupleStance 	Constraint: timeDuration 	Node: 1 
------------------------------------------------------------------------------
       Lower   Constraint        Upper
5.00000000E-01 4.50493220E-01 2.00000000E+00
$$ Lower bound violated: -4.95067800E-02 
******************************************************************************
Domain: QuadrupleStance 	Constraint: intX 	Node: 2 
------------------------------------------------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 6.02758597E-04 1.00000000E-04
-1.00000000E-04 -1.04146591E-04 1.00000000E-04
-1.00000000E-04 3.23538641E-04 1.00000000E-04
-1.00000000E-04 -6.08902615E-04 1.00000000E-04
-1.00000000E-04 1.89198476E-06 1.00000000E-04
-1.00000000E-04 -9.33541679E-08 1.00000000E-04
-1.00000000E-04 -1.21887081E-06 1.00000000E-04
-1.00000000E-04 -9.98133783E-07 1.00000000E-04
-1.00000000E-04 1.13041113E-06 1.00000000E-04
-1.00000000E-04 -8.88995733E-09 1.00000000E-04
-1.00000000E-04 2.44186685E-05 1.00000000E-04
-1.00000000E-04 1.71489383E-06 1.00000000E-04
-1.00000000E-04 -1.38705883E-05 1.00000000E-04
-1.00000000E-04 -4.80505485E-05 1.00000000E-04
-1.00000000E-04 -5.55881298E-05 1.00000000E-04
-1.00000000E-04 -1.37200236E-05 1.00000000E-04
-1.00000000E-04 -5.11030356E-05 1.00000000E-04
-1.00000000E-04 2.37017388E-06 1.00000000E-04
-1.00000000E-04 2.47019070E-05 1.00000000E-04
-1.00000000E-04 1.07215035E-05 1.00000000E-04
-1.00000000E-04 -2.87484027E-05 1.00000000E-04
-1.00000000E-04 -4.15514791E-05 1.00000000E-04
******************************************************************************
Domain: QuadrupleStance 	Constraint: intX 	Node: 8 
------------------------------------------------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 1.54946663E-05 1.00000000E-04
-1.00000000E-04 -2.68518700E-06 1.00000000E-04
-1.00000000E-04 1.96077088E-04 1.00000000E-04
-1.00000000E-04 -4.26728453E-06 1.00000000E-04
-1.00000000E-04 4.11167055E-05 1.00000000E-04
-1.00000000E-04 -3.58178492E-08 1.00000000E-04
-1.00000000E-04 -1.88412898E-04 1.00000000E-04
-1.00000000E-04 1.64527977E-04 1.00000000E-04
-1.00000000E-04 -3.47871865E-04 1.00000000E-04
-1.00000000E-04 4.36794667E-04 1.00000000E-04
-1.00000000E-04 -1.73202117E-04 1.00000000E-04
-1.00000000E-04 3.47687342E-04 1.00000000E-04
-1.00000000E-04 3.75960879E-04 1.00000000E-04
-1.00000000E-04 -1.95694167E-04 1.00000000E-04
-1.00000000E-04 4.38140112E-04 1.00000000E-04
-1.00000000E-04 -1.24715928E-04 1.00000000E-04
-1.00000000E-04 2.15658008E-04 1.00000000E-04
-1.00000000E-04 -4.11862005E-04 1.00000000E-04
-1.00000000E-04 1.65042350E-06 1.00000000E-04
-1.00000000E-04 -6.65094230E-07 1.00000000E-04
-1.00000000E-04 6.66565762E-05 1.00000000E-04
-1.00000000E-04 -3.43095126E-07 1.00000000E-04
-1.00000000E-04 8.76534537E-07 1.00000000E-04
-1.00000000E-04 -3.41534346E-08 1.00000000E-04
-1.00000000E-04 -1.65017513E-05 1.00000000E-04
-1.00000000E-04 2.14337379E-05 1.00000000E-04
-1.00000000E-04 -1.40823291E-05 1.00000000E-04
-1.00000000E-04 7.65000166E-06 1.00000000E-04
-1.00000000E-04 -1.23630795E-05 1.00000000E-04
-1.00000000E-04 1.00243570E-05 1.00000000E-04
-1.00000000E-04 2.31570388E-05 1.00000000E-04
-1.00000000E-04 -3.36343333E-05 1.00000000E-04
-1.00000000E-04 2.36019524E-05 1.00000000E-04
-1.00000000E-04 5.75620341E-07 1.00000000E-04
-1.00000000E-04 2.59505850E-05 1.00000000E-04
-1.00000000E-04 -2.18621994E-05 1.00000000E-04
******************************************************************************
Domain: QuadrupleStance 	Constraint: intX 	Node: 10 
------------------------------------------------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 1.21145483E-05 1.00000000E-04
-1.00000000E-04 -9.11656772E-07 1.00000000E-04
-1.00000000E-04 1.98300060E-04 1.00000000E-04
-1.00000000E-04 -5.60423967E-06 1.00000000E-04
-1.00000000E-04 3.47844512E-05 1.00000000E-04
-1.00000000E-04 -7.67865655E-09 1.00000000E-04
-1.00000000E-04 -3.28031584E-07 1.00000000E-04
-1.00000000E-04 7.57036655E-05 1.00000000E-04
-1.00000000E-04 -4.91768525E-05 1.00000000E-04
-1.00000000E-04 2.78044268E-04 1.00000000E-04
-1.00000000E-04 -4.09929259E-05 1.00000000E-04
-1.00000000E-04 9.18356185E-05 1.00000000E-04
-1.00000000E-04 2.25816291E-04 1.00000000E-04
-1.00000000E-04 -8.45836824E-05 1.00000000E-04
-1.00000000E-04 1.40184294E-04 1.00000000E-04
-1.00000000E-04 -3.12184206E-05 1.00000000E-04
-1.00000000E-04 1.04490593E-04 1.00000000E-04
-1.00000000E-04 -1.31541091E-04 1.00000000E-04
-1.00000000E-04 8.43368460E-07 1.00000000E-04
-1.00000000E-04 -3.29394648E-07 1.00000000E-04
-1.00000000E-04 5.79350967E-06 1.00000000E-04
-1.00000000E-04 -4.68329026E-07 1.00000000E-04
-1.00000000E-04 9.68407654E-07 1.00000000E-04
-1.00000000E-04 -5.06540268E-08 1.00000000E-04
-1.00000000E-04 -2.10582811E-05 1.00000000E-04
-1.00000000E-04 4.87708246E-05 1.00000000E-04
-1.00000000E-04 -2.27029305E-05 1.00000000E-04
-1.00000000E-04 2.59726363E-05 1.00000000E-04
-1.00000000E-04 -1.62095092E-05 1.00000000E-04
-1.00000000E-04 2.89883393E-05 1.00000000E-04
-1.00000000E-04 1.19257748E-05 1.00000000E-04
-1.00000000E-04 -7.20577646E-06 1.00000000E-04
-1.00000000E-04 4.19611992E-05 1.00000000E-04
-1.00000000E-04 -2.78482606E-05 1.00000000E-04
-1.00000000E-04 3.12452583E-05 1.00000000E-04
-1.00000000E-04 -3.09680407E-05 1.00000000E-04
******************************************************************************
Domain: QuadrupleStance 	Constraint: intX 	Node: 12 
------------------------------------------------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 7.86908985E-06 1.00000000E-04
-1.00000000E-04 -2.32821265E-06 1.00000000E-04
-1.00000000E-04 5.23812141E-04 1.00000000E-04
-1.00000000E-04 -1.68120622E-06 1.00000000E-04
-1.00000000E-04 2.46711781E-05 1.00000000E-04
-1.00000000E-04 5.65803877E-08 1.00000000E-04
-1.00000000E-04 1.37682422E-04 1.00000000E-04
-1.00000000E-04 -1.46161059E-04 1.00000000E-04
-1.00000000E-04 3.13633555E-04 1.00000000E-04
-1.00000000E-04 7.41150567E-05 1.00000000E-04
-1.00000000E-04 1.86114798E-04 1.00000000E-04
-1.00000000E-04 -2.96232080E-04 1.00000000E-04
-1.00000000E-04 2.86565505E-05 1.00000000E-04
-1.00000000E-04 1.00051382E-04 1.00000000E-04
-1.00000000E-04 -2.76318631E-04 1.00000000E-04
-1.00000000E-04 2.21437129E-05 1.00000000E-04
-1.00000000E-04 -4.81775479E-05 1.00000000E-04
-1.00000000E-04 2.87840904E-04 1.00000000E-04
-1.00000000E-04 1.55017483E-06 1.00000000E-04
-1.00000000E-04 3.22417898E-07 1.00000000E-04
-1.00000000E-04 -2.59876172E-05 1.00000000E-04
-1.00000000E-04 -1.05345538E-06 1.00000000E-04
-1.00000000E-04 3.94483053E-06 1.00000000E-04
-1.00000000E-04 -4.85079220E-08 1.00000000E-04
-1.00000000E-04 -1.24104514E-06 1.00000000E-04
-1.00000000E-04 8.08993362E-05 1.00000000E-04
-1.00000000E-04 -3.10747978E-05 1.00000000E-04
-1.00000000E-04 2.28756141E-05 1.00000000E-04
-1.00000000E-04 -2.32914503E-05 1.00000000E-04
-1.00000000E-04 5.87995458E-05 1.00000000E-04
-1.00000000E-04 3.15166234E-05 1.00000000E-04
-1.00000000E-04 1.71023158E-05 1.00000000E-04
-1.00000000E-04 7.13123320E-05 1.00000000E-04
-1.00000000E-04 1.06136955E-05 1.00000000E-04
-1.00000000E-04 1.66054703E-05 1.00000000E-04
-1.00000000E-04 -7.11901340E-05 1.00000000E-04
******************************************************************************
Domain: QuadrupleStance 	Constraint: intX 	Node: 14 
------------------------------------------------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 -1.76285569E-06 1.00000000E-04
-1.00000000E-04 -6.43272247E-06 1.00000000E-04
-1.00000000E-04 2.91460969E-05 1.00000000E-04
-1.00000000E-04 6.88612156E-06 1.00000000E-04
-1.00000000E-04 1.22920924E-06 1.00000000E-04
-1.00000000E-04 1.79194827E-07 1.00000000E-04
-1.00000000E-04 4.43779717E-05 1.00000000E-04
-1.00000000E-04 -3.90398673E-04 1.00000000E-04
-1.00000000E-04 7.91790497E-04 1.00000000E-04
-1.00000000E-04 -1.24779420E-04 1.00000000E-04
-1.00000000E-04 4.83806027E-04 1.00000000E-04
-1.00000000E-04 -7.88529921E-04 1.00000000E-04
-1.00000000E-04 -1.37229052E-04 1.00000000E-04
-1.00000000E-04 2.51965937E-04 1.00000000E-04
-1.00000000E-04 -7.76949254E-04 1.00000000E-04
-1.00000000E-04 7.13167075E-05 1.00000000E-04
-1.00000000E-04 -3.19628309E-04 1.00000000E-04
-1.00000000E-04 8.50131378E-04 1.00000000E-04
-1.00000000E-04 1.61310081E-06 1.00000000E-04
-1.00000000E-04 4.84653462E-07 1.00000000E-04
-1.00000000E-04 -8.31376418E-05 1.00000000E-04
-1.00000000E-04 -1.40446357E-06 1.00000000E-04
-1.00000000E-04 6.21683869E-06 1.00000000E-04
-1.00000000E-04 -7.97037201E-08 1.00000000E-04
-1.00000000E-04 1.41614061E-05 1.00000000E-04
-1.00000000E-04 -2.41694830E-06 1.00000000E-04
-1.00000000E-04 -8.52486775E-05 1.00000000E-04
-1.00000000E-04 2.99351531E-05 1.00000000E-04
-1.00000000E-04 -1.92252540E-05 1.00000000E-04
-1.00000000E-04 7.89349221E-05 1.00000000E-04
-1.00000000E-04 1.75340122E-05 1.00000000E-04
-1.00000000E-04 -1.34096060E-05 1.00000000E-04
-1.00000000E-04 7.66460760E-05 1.00000000E-04
-1.00000000E-04 -1.52714278E-05 1.00000000E-04
-1.00000000E-04 3.77181951E-05 1.00000000E-04
-1.00000000E-04 -9.03188051E-05 1.00000000E-04
******************************************************************************
Domain: QuadrupleStance 	Constraint: intX 	Node: 16 
------------------------------------------------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 -6.07112055E-06 1.00000000E-04
-1.00000000E-04 -1.10561881E-05 1.00000000E-04
-1.00000000E-04 -3.25681256E-05 1.00000000E-04
-1.00000000E-04 1.63938958E-05 1.00000000E-04
-1.00000000E-04 -1.43110772E-05 1.00000000E-04
-1.00000000E-04 4.34215717E-07 1.00000000E-04
-1.00000000E-04 -4.83340834E-05 1.00000000E-04
-1.00000000E-04 -6.97551438E-04 1.00000000E-04
-1.00000000E-04 1.31807302E-03 1.00000000E-04
-1.00000000E-04 -2.82455445E-04 1.00000000E-04
-1.00000000E-04 7.12548770E-04 1.00000000E-04
-1.00000000E-04 -1.35681440E-03 1.00000000E-04
-1.00000000E-04 -2.72256652E-04 1.00000000E-04
-1.00000000E-04 6.63748912E-04 1.00000000E-04
-1.00000000E-04 -1.33359969E-03 1.00000000E-04
-1.00000000E-04 5.58825052E-05 1.00000000E-04
-1.00000000E-04 -7.32972597E-04 1.00000000E-04
-1.00000000E-04 1.34555509E-03 1.00000000E-04
-1.00000000E-04 6.10379082E-07 1.00000000E-04
-1.00000000E-04 2.39726959E-07 1.00000000E-04
-1.00000000E-04 4.19366996E-05 1.00000000E-04
-1.00000000E-04 -1.25637375E-06 1.00000000E-04
-1.00000000E-04 3.12860931E-06 1.00000000E-04
-1.00000000E-04 -1.17107418E-07 1.00000000E-04
-1.00000000E-04 -1.10436834E-05 1.00000000E-04
-1.00000000E-04 2.88567682E-05 1.00000000E-04
-1.00000000E-04 -5.59869953E-05 1.00000000E-04
-1.00000000E-04 2.76266658E-05 1.00000000E-04
-1.00000000E-04 -4.74336752E-05 1.00000000E-04
-1.00000000E-04 5.15379298E-05 1.00000000E-04
-1.00000000E-04 -5.20722842E-06 1.00000000E-04
-1.00000000E-04 -7.52538200E-06 1.00000000E-04
-1.00000000E-04 6.77476523E-05 1.00000000E-04
-1.00000000E-04 2.86469489E-05 1.00000000E-04
-1.00000000E-04 1.25194433E-05 1.00000000E-04
-1.00000000E-04 -7.15348039E-05 1.00000000E-04
$$ Lower bound violated: -1.25681440E-03 
$$ Upper bound violated: 1.24555509E-03 
******************************************************************************
Domain: QuadrupleStance 	Constraint: intX 	Node: 18 
------------------------------------------------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 -1.34501149E-05 1.00000000E-04
-1.00000000E-04 -9.66948105E-06 1.00000000E-04
-1.00000000E-04 -1.18723545E-04 1.00000000E-04
-1.00000000E-04 1.62914429E-05 1.00000000E-04
-1.00000000E-04 -3.14688737E-05 1.00000000E-04
-1.00000000E-04 7.80616115E-07 1.00000000E-04
-1.00000000E-04 1.28163769E-06 1.00000000E-04
-1.00000000E-04 -7.98461240E-04 1.00000000E-04
-1.00000000E-04 1.44855212E-03 1.00000000E-04
-1.00000000E-04 -4.30716979E-04 1.00000000E-04
